TypeNew,StatecodeNew,finance_rate,finance_charges,credit_rating,finance_amount,avarage_emi,noir,noisb,gih,gis,gic
0,1,10.98,"9,664.00",1,"44,000.00","2,236.00",32,4,"7,979.00",0,0
0,1,8.8,"6,160.00",1,"35,000.00","1,715.00",3,21,"2,000.00",0,0
0,1,8.8,"7,040.00",1,"40,000.00","1,960.00",28,12,"2,000.00",0,0
0,1,8.8,"6,160.00",1,"35,000.00","1,715.00",35,16,"2,000.00","10,637.00",0
0,1,11,"7,700.00",1,"35,000.00","1,779.00",3,4,"2,000.00",0,0
0,1,11,"7,700.00",1,"35,000.00","1,779.00",2,4,"2,000.00",0,0
0,1,9,"7,383.00",1,"41,000.00","2,016.00",23,11,"2,000.00",0,0
0,1,8.86,"7,756.00",1,"35,000.00","1,527.00",41,4,"2,000.00",0,0
0,1,7.35,"6,248.00",1,"34,000.00","1,548.00",5,4,"2,000.00",0,0
0,1,7.79,"6,078.00",1,"39,000.00","2,049.00",18,10,"2,000.00",0,0
0,1,7.81,"6,720.00",1,"43,000.00","2,260.00",33,12,"7,000.00",0,0
0,1,9.15,"5,490.00",1,"30,000.00","1,475.00",8,4,"2,000.00",0,0
0,1,12.02,"5,288.00",1,"22,000.00","1,137.00",10,16,"2,000.00",0,0
0,1,10,"8,000.00",1,"40,000.00","2,000.00",6,4,"2,000.00",0,0
0,1,11,"7,260.00",1,"33,000.00","1,678.00",28,4,"2,000.00",0,0
0,1,11,"11,550.00",1,"42,000.00","1,785.00",3,4,"2,000.00",0,0
0,1,12.01,"13,696.00",1,"38,000.00","1,436.00",23,4,"2,000.00",0,0
0,1,10.01,"12,260.00",1,"49,000.00","2,042.00",23,11,"2,000.00",0,0
0,1,7.26,"6,860.00",1,"47,260.00","2,255.00",23,29,"2,000.00",0,0
0,1,7.25,"9,162.00",1,"50,550.00","1,990.00",4,8,"2,000.00",0,0
0,1,8,"8,400.00",1,"42,000.00","1,680.00",7,9,"2,000.00",0,0
0,1,11.26,"9,850.00",1,"35,000.00","1,495.00",31,9,"2,000.00",0,0
0,1,10.02,"9,390.00",1,"37,500.00","1,563.00",3,4,"2,000.00",0,0
0,1,12,"7,200.00",1,"30,000.00","1,550.00",3,14,"2,000.00",0,0
0,1,10.03,"6,015.00",1,"30,000.00","1,715.00",13,4,"2,000.00","10,000.00",0
0,1,9.23,"4,800.00",1,"26,000.00","1,540.00",3,4,"2,000.00",0,0
0,1,8.02,"5,916.00",1,"49,200.00","3,062.00",32,9,"2,000.00",0,0
0,1,8.52,"7,757.00",1,"36,433.00","1,473.00",13,10,"2,000.00",0,0
0,1,8.28,"6,210.00",1,"30,000.00","1,207.00",33,4,"11,220.00",0,0
0,2,9.5,"4,560.00",1,"24,000.00","1,190.00",3,4,"2,000.00","10,616.00",0
0,2,13.5,"7,560.00",1,"28,000.00","1,480.00",35,33,"2,000.00","4,424.00",0
0,3,8.5,"4,080.00",1,"32,000.00","2,000.00",10,16,"2,000.00",0,0
0,3,8,"3,520.00",1,"22,000.00","1,060.00",8,19,"2,000.00",0,0
0,3,9,"5,220.00",1,"29,000.00","1,425.00",61,10,"6,500.00",0,0
0,3,8.5,"5,610.00",1,"33,000.00","1,626.00",28,12,"2,000.00",0,0
0,3,6.49,"4,543.00",1,"35,000.00","1,647.00",33,12,"7,402.00","9,133.00",0
0,3,6.5,"4,550.00",1,"35,000.00","1,647.00",24,12,"7,595.00",0,0
0,3,8.75,"6,125.00",1,"35,000.00","1,710.00",35,6,"2,000.00",0,0
0,3,9.5,"7,220.00",1,"38,000.00","1,880.00",27,8,"2,000.00",0,0
0,3,9.5,"4,750.00",1,"25,000.00","1,230.00",88,14,"7,000.00",0,0
0,3,7,"4,900.00",1,"35,000.00","1,900.00",33,26,"8,000.00",0,0
0,4,8.55,"2,820.00",1,"33,000.00","2,985.00",50,19,"2,000.00",0,0
0,5,9.21,"9,120.00",1,"33,000.00","1,170.00",15,10,"2,000.00",0,0
0,5,9.96,"11,208.00",1,"37,500.00","1,353.00",3,4,"2,000.00",0,0
0,5,9.93,"6,752.00",1,"34,000.00","1,698.00",3,4,"2,000.00",0,0
0,5,8.51,"7,400.00",1,"29,000.00","1,040.00",35,4,"2,000.00",0,0
0,5,11,"12,212.00",1,"37,000.00","1,367.00",3,4,"2,000.00",0,"3,000.00"
0,5,10,"6,900.00",1,"34,500.00","1,725.00",35,4,"2,000.00",0,0
0,5,10.82,"10,220.00",1,"31,500.00","1,192.00",33,6,"6,000.00",0,0
0,5,11,"11,216.00",1,"34,000.00","1,256.00",18,4,"2,000.00",0,0
0,5,8.03,"8,788.00",1,"36,500.00","1,258.00",13,4,"2,000.00",0,0
0,5,13.01,"13,268.00",1,"34,000.00","1,313.00",13,4,"2,000.00",0,"3,000.00"
0,5,9.01,"9,867.00",1,"36,500.00","1,288.00",19,16,"2,000.00",0,0
0,5,8,"7,400.00",1,"37,000.00","1,480.00",3,10,"2,000.00",0,0
0,5,9.48,"5,260.00",1,"18,500.00",660,17,4,"2,000.00",0,0
0,5,13.01,"13,267.00",1,"34,000.00","1,313.00",5,4,"2,000.00",0,0
0,5,12.01,"6,891.00",1,"28,700.00","1,483.00",33,11,"2,000.00",0,0
0,5,8.99,"8,088.00",1,"30,000.00","1,058.00",3,4,"6,500.00",0,0
0,5,9.01,"9,867.00",1,"36,500.00","1,287.00",25,6,"2,000.00",0,0
0,5,9,"9,312.00",1,"34,500.00","1,217.00",24,4,"2,000.00",0,0
0,5,7.99,"7,886.00",1,"39,500.00","1,634.00",29,4,"2,000.00",0,0
0,5,11,"9,408.00",1,"28,500.00","1,053.00",23,4,"2,000.00",0,0
0,7,7.74,"7,989.00",1,"41,300.00","1,643.00",23,11,"2,000.00",0,0
0,7,9.5,"10,260.00",1,"36,000.00","1,285.00",13,4,"2,000.00",0,0
0,7,8.7,"10,644.00",1,"40,800.00","1,429.00",29,4,"2,000.00",0,0
0,7,9.03,"8,940.00",1,"33,000.00","1,165.00",15,7,"2,000.00",0,0
0,8,6.75,"5,374.00",1,"39,821.00","1,965.00",21,14,"8,000.00",0,0
0,8,8.98,"3,368.00",1,"25,000.00","1,576.00",44,13,"9,500.00",0,0
0,9,8.73,"6,464.00",1,"37,000.00","1,811.00",18,9,"2,000.00",0,0
0,9,10.94,"7,002.00",1,"32,000.00","1,625.00",28,29,"2,000.00",0,0
0,9,10,"6,600.00",1,"33,000.00","1,650.00",23,4,"2,000.00",0,0
0,9,10.55,"6,330.00",1,"30,000.00","1,730.00",3,13,"7,000.00",0,0
0,9,7.32,"7,687.00",1,"35,000.00","1,377.00",3,4,"2,000.00",0,0
0,9,7.61,"6,470.00",1,"34,000.00","1,349.00",13,14,"2,000.00",0,0
0,9,10,"7,000.00",1,"35,000.00","1,750.00",23,14,"2,000.00",0,0
0,9,10.5,"9,190.00",1,"35,000.00","1,473.00",18,19,"2,000.00",0,0
0,10,9.53,"7,746.00",1,"32,513.00","1,342.00",32,13,"2,000.00",0,0
0,10,10.01,"6,791.00",1,"33,913.00","1,696.00",34,34,"2,000.00",0,0
0,10,9.92,"7,436.00",1,"25,000.00",901,33,29,"8,581.00",0,0
0,10,9.5,"6,388.00",1,"33,612.00","2,000.00",23,12,"8,000.00",0,0
0,10,8.86,"3,712.00",1,"27,914.00","1,757.00",13,14,"2,000.00",0,0
0,10,11.45,"3,800.00",1,"16,600.00",850,23,7,"2,000.00",0,0
0,11,9.15,"6,611.00",1,"28,900.00","1,184.00",33,23,"2,000.00",0,0
0,11,9.69,"9,884.00",1,"34,000.00","1,219.00",23,9,"2,000.00",0,0
0,11,9.4,"4,700.00",1,"25,000.00","1,238.00",30,15,"2,000.00",0,0
0,11,9.6,"4,464.00",1,"31,000.00","1,970.00",19,28,"14,525.00",0,0
0,11,9.97,"8,970.00",1,"36,000.00","1,499.00",23,24,"10,000.00",0,0
0,11,9.51,"9,704.00",1,"34,000.00","1,214.00",11,14,"2,000.00",0,0
0,11,10.74,"8,590.00",1,"32,000.00","1,353.00",28,24,"2,000.00",0,0
0,11,9.82,"8,590.00",1,"35,000.00","1,453.00",13,14,"2,000.00",0,0
0,11,9,"9,720.00",1,"36,000.00","1,270.00",18,4,"2,000.00",0,0
0,11,11.07,"12,616.00",1,"38,000.00","1,406.00",33,11,"2,000.00",0,0
0,11,10.49,"9,870.00",1,"37,650.00","1,584.00",49,54,"2,000.00",0,0
0,11,7.49,"7,076.00",1,"31,500.00","1,169.00",31,14,"2,000.00",0,0
0,12,8,"8,200.00",1,"41,000.00","1,640.00",8,4,"2,000.00",0,0
0,12,9.51,"7,122.00",1,"37,446.00","1,857.00",28,9,"2,000.00",0,0
0,12,6.77,"7,790.00",1,"46,000.00","1,793.00",13,4,"2,000.00","6,666.00",0
0,12,8.93,"6,784.00",1,"38,000.00","1,866.00",18,4,"2,000.00",0,0
0,12,0,0,1,"30,000.00","3,000.00",23,6,"2,000.00",0,0
0,12,5.77,"4,384.00",1,"38,000.00","1,766.00",29,4,"11,941.00",0,0
0,12,7.52,"7,520.00",1,"40,000.00","1,584.00",3,4,"2,000.00",0,0
0,12,10.5,"9,190.00",1,"35,000.00","1,473.00",39,8,"2,000.00",0,0
0,12,9.89,"6,528.00",1,"33,000.00","1,647.00",15,4,"2,000.00","5,000.00","3,000.00"
0,12,8.52,"8,175.00",1,"32,000.00","1,116.00",7,14,"2,000.00","5,616.00",0
0,12,9.5,"9,500.00",1,"40,000.00","1,650.00",23,14,"2,000.00",0,0
0,12,8.01,"6,410.00",1,"40,000.00","2,210.00",23,6,"2,000.00",0,0
0,13,11,"6,600.00",1,"30,000.00","1,525.00",18,8,"2,000.00",0,"3,000.00"
0,13,8.48,"5,300.00",1,"25,000.00","1,212.00",3,14,"2,000.00",0,0
0,13,6.77,"4,872.00",1,"36,000.00","1,703.00",23,24,"2,000.00",0,0
0,13,6.25,"6,090.00",1,"39,000.00","1,503.00",23,16,"2,000.00",0,0
0,13,10,"4,600.00",1,"23,000.00","1,150.00",3,4,"2,000.00",0,0
0,13,9.77,"6,470.00",1,"26,500.00","1,099.00",25,14,"2,000.00",0,0
0,13,10.79,"6,256.00",1,"29,000.00","1,469.00",38,34,"2,000.00",0,0
0,13,9.51,"8,283.00",1,"34,857.00","1,438.00",48,16,"2,000.00",0,0
0,13,9.5,"7,482.00",1,"26,250.00",937,21,8,"4,000.00",0,0
0,13,10.72,"9,325.00",1,"29,000.00","1,095.00",5,11,"2,000.00",0,0
0,13,9.5,"6,270.00",1,"33,000.00","1,636.00",3,4,"2,000.00",0,0
0,13,10.5,"6,512.00",1,"31,000.00","1,563.00",23,29,"14,264.00",0,0
0,13,9.51,"6,131.00",1,"21,484.00",789,3,24,"3,600.00",0,0
0,13,10,"8,860.00",1,"35,440.00","1,772.00",33,12,"2,000.00",0,0
0,13,9.53,"9,348.00",1,"32,700.00","1,168.00",27,8,"2,000.00",0,0
0,14,10,"8,250.00",1,"33,000.00","1,375.00",23,19,"2,000.00",0,0
0,14,5.67,"5,950.00",1,"35,000.00","1,170.00",6,12,"9,400.00",0,0
0,14,8.39,"5,200.00",1,"31,000.00","1,810.00",19,4,"12,390.00",0,0
0,14,7.36,"7,171.00",1,"32,500.00","1,102.00",8,4,"2,000.00",0,0
0,14,9.01,"6,304.00",1,"35,000.00","1,721.00",58,8,"2,000.00",0,0
0,14,9.01,"9,461.00",1,"35,000.00","1,235.00",38,12,"2,000.00",0,0
0,14,8.87,"3,956.00",1,"22,300.00","1,094.00",28,12,"7,000.00",0,0
0,14,8.52,"3,960.00",1,"31,000.00","2,185.00",15,16,"14,600.00",0,0
0,14,7.49,"5,096.00",1,"34,000.00","1,629.00",3,4,"9,389.00",0,0
0,14,7.27,"5,014.00",1,"34,500.00","1,718.00",5,10,"2,000.00",0,0
0,15,10,"6,000.00",1,"30,000.00","1,500.00",33,4,"2,000.00",0,0
0,15,10,"5,400.00",1,"27,000.00","1,350.00",3,4,"2,000.00",0,0
0,15,7.4,"3,552.00",1,"32,000.00","2,090.00",33,12,"9,500.00",0,0
0,15,7,"2,520.00",1,"24,000.00","1,474.00",8,24,"9,582.00",0,0
0,15,9,"5,760.00",1,"32,000.00","1,795.00",32,14,"2,000.00",0,0
0,15,9,"8,325.00",1,"37,000.00","1,510.00",6,10,"2,000.00",0,0
0,17,8.48,"11,060.00",1,"43,480.00","1,515.00",2,4,"20,000.00",0,0
0,18,8.32,"6,157.00",1,"37,000.00","1,880.00",33,14,"4,279.00",0,0
0,18,8.32,"6,490.00",1,"39,000.00","1,980.00",33,7,"8,518.00",0,0
0,18,7,"4,340.00",1,"31,000.00","1,536.00",18,12,"2,000.00",0,0
0,18,9,"4,682.00",1,"26,000.00","1,334.00",27,24,"14,018.00",0,0
0,18,6.5,"5,850.00",1,"45,000.00","2,200.00",32,16,"2,000.00",0,0
0,18,8.6,"9,804.00",1,"38,000.00","1,327.00",46,23,"2,000.00",0,0
0,18,8,"5,600.00",1,"35,000.00","1,690.00",40,14,"4,46,284.00",0,0
0,18,6.5,"6,760.00",1,"52,000.00","2,670.00",33,14,"2,000.00",0,0
0,18,9.2,"4,766.00",1,"25,900.00","1,460.00",29,4,"13,045.00",0,0
0,18,9.95,"11,343.00",1,"38,000.00","1,370.00",18,9,"9,758.00",0,0
0,18,7.5,"3,585.00",1,"23,900.00","1,150.00",38,10,"2,000.00",0,0
0,18,6.95,"2,849.00",1,"40,999.00","3,650.00",46,18,"10,340.00",0,0
0,18,6.95,"2,502.00",1,"36,000.00","3,250.00",21,21,"9,511.00",0,0
0,18,7,"2,100.00",1,"20,000.00","1,250.00",21,5,"2,000.00",0,0
0,19,9.91,"9,660.00",1,"39,000.00","1,622.00",18,8,"2,000.00",0,0
0,19,10.52,"9,260.00",1,"35,200.00","1,482.00",26,5,"2,000.00",0,0
0,19,7.99,"8,606.00",1,"35,890.00","1,236.00",18,6,"7,000.00",0,0
0,19,9.51,"12,767.00",1,"44,760.00","1,598.00",18,24,"9,000.00",0,0
0,19,5.98,"8,969.00",1,"50,000.00","1,638.00",33,9,"7,500.00",0,0
0,19,9.01,"7,208.00",1,"40,000.00","1,967.00",6,5,"6,700.00",0,0
0,19,8.99,"11,056.00",1,"41,000.00","1,446.00",28,6,"2,000.00",0,0
0,19,9.3,"10,600.00",1,"38,000.00","1,350.00",38,34,"2,000.00",0,0
0,19,5.99,"10,060.00",1,"56,000.00","1,835.00",25,6,"2,000.00",0,0
0,19,8.27,"11,159.00",1,"45,000.00","1,560.00",5,6,"10,400.00",0,0
0,19,10.51,"6,236.00",1,"29,668.00","1,496.00",23,16,"2,000.00",0,0
0,19,11.01,"7,048.00",1,"32,000.00","1,627.00",23,19,"2,000.00",0,0
0,19,9.2,"11,157.00",1,"40,430.00","1,433.00",10,14,"2,000.00","7,600.00",0
0,19,6.82,"5,540.00",1,"32,500.00","1,268.00",38,10,"2,000.00",0,0
0,19,8.75,"3,852.00",1,"22,000.00","1,077.00",28,29,"7,000.00",0,0
0,19,8.8,"5,632.00",1,"32,000.00","1,568.00",28,9,"2,000.00",0,0
0,19,9,"5,758.00",1,"32,000.00","1,798.00",53,4,"6,646.00",0,0
0,19,10,"6,400.00",1,"32,000.00","1,600.00",13,14,"2,000.00",0,0
0,19,10,"6,000.00",1,"30,000.00","1,500.00",13,16,"2,000.00",0,0
0,19,9.5,"6,323.00",1,"33,277.00","1,650.00",28,24,"2,000.00",0,0
0,19,8.51,"6,296.00",1,"37,000.00","1,804.00",3,4,"9,000.00",0,0
0,19,9.5,"6,840.00",1,"36,000.00","1,785.00",13,20,"2,000.00",0,0
0,19,9.9,"8,419.00",1,"34,000.00","1,414.00",28,11,"2,000.00",0,0
0,19,9.49,"6,640.00",1,"35,000.00","1,735.00",28,13,"7,000.00",0,0
0,19,7.55,"5,127.00",1,"33,950.00","1,699.00",3,4,"2,000.00",0,0
0,19,8,"9,688.00",1,"40,388.00","1,391.00",33,4,"9,000.00",0,"3,000.00"
0,19,9.51,"7,040.00",1,"37,000.00","1,835.00",18,4,"10,268.00",0,0
0,19,10,"5,600.00",1,"28,000.00","1,400.00",13,5,"2,000.00",0,0
0,19,10,"7,500.00",1,"30,000.00","1,250.00",9,14,"2,000.00",0,0
0,20,9,"5,220.00",1,"29,000.00","1,711.00",27,6,"2,000.00",0,0
0,20,9.6,"6,480.00",1,"27,000.00","1,116.00",18,11,"2,000.00",0,0
0,21,9.02,"5,230.00",1,"29,000.00","1,630.00",28,4,"2,000.00",0,0
0,21,8.01,"4,487.00",1,"28,000.00","1,547.00",23,10,"2,000.00",0,0
0,22,8.9,"10,012.00",1,"45,000.00","1,833.00",24,8,"12,080.00",0,0
0,22,9,"4,680.00",1,"26,000.00","1,278.00",18,4,"2,000.00",0,0
0,22,9.02,"7,440.00",1,"33,000.00","1,348.00",42,8,"8,300.00",0,0
0,22,9,"5,940.00",1,"33,000.00","1,600.00",48,19,"2,000.00",0,0
0,22,7.5,"6,750.00",1,"36,000.00","1,475.00",34,9,"2,000.00",0,0
0,22,6.25,"8,453.00",1,"54,097.00","2,085.00",34,10,"10,940.00",0,0
0,22,8.75,"4,594.00",1,"35,000.00","2,190.00",33,14,"7,000.00",0,0
0,22,9,"4,590.00",1,"34,000.00","2,140.00",11,4,"11,001.00",0,0
0,22,8.75,"4,725.00",1,"36,000.00","2,260.00",28,16,"2,000.00",0,0
0,22,7.88,"5,516.00",1,"35,000.00","1,955.00",23,12,"2,000.00",0,0
0,23,8.51,"7,915.00",1,"31,000.00","1,081.00",28,7,"2,000.00",0,0
0,23,8.49,"9,812.00",1,"38,500.00","1,342.00",38,34,"2,000.00","6,319.00",0
0,23,8.7,"9,916.00",1,"38,000.00","1,331.00",22,24,"2,000.00",0,0
0,23,8.49,"10,392.00",1,"40,800.00","1,422.00",37,38,"2,000.00",0,0
0,23,11.53,"11,240.00",1,"32,500.00","1,215.00",3,4,"2,000.00",0,0
0,23,9.83,"8,843.00",1,"30,000.00","1,079.00",41,19,"14,000.00",0,0
0,23,7.47,"7,840.00",1,"35,000.00","1,190.00",31,11,"2,000.00",0,0
0,23,7,"4,200.00",1,"30,000.00","1,425.00",37,17,"7,000.00",0,0
0,23,7.5,"8,436.00",1,"37,500.00","1,276.00",32,8,"2,000.00",0,0
0,23,7.24,"5,430.00",1,"30,000.00","1,181.00",45,19,"2,000.00",0,0
0,23,7.67,"6,900.00",1,"30,000.00","1,025.00",22,36,"2,000.00",0,0
0,23,8.59,"9,660.00",1,"37,500.00","1,310.00",34,8,"2,000.00",0,0
0,1,7.99,"5,432.00",1,"34,000.00","1,643.00",7,5,"2,000.00",0,0
0,1,8.33,"9,996.00",1,"40,000.00","1,389.00",5,4,"2,000.00",0,"3,000.00"
0,1,10,"11,096.00",1,"37,000.00","1,336.00",5,4,"8,007.00",0,0
0,1,8.79,"9,010.00",1,"41,000.00","1,667.00",34,14,"2,000.00",0,0
0,1,7.7,"6,160.00",1,"40,000.00","1,924.00",13,5,"2,000.00",0,0
0,1,7.9,"6,004.00",1,"38,000.00","1,834.00",30,11,"2,000.00",0,0
0,1,7.99,"6,596.00",1,"55,000.00","3,422.00",8,19,"2,000.00",0,0
0,1,9,"10,128.00",1,"37,500.00","1,323.00",38,13,"7,173.00",0,0
0,1,7.7,"6,622.00",1,"43,000.00","2,068.00",4,14,"2,000.00",0,0
0,1,10.51,"11,165.00",1,"42,505.00","1,789.00",28,9,"2,000.00",0,0
0,1,9.42,"6,216.00",1,"33,000.00","1,634.00",8,4,"2,000.00",0,0
0,1,7.7,"5,468.00",1,"35,500.00","1,707.00",33,24,"2,000.00",0,0
0,1,8.33,"12,495.00",1,"50,000.00","1,736.00",38,24,"2,000.00",0,0
0,1,9.01,"12,168.00",1,"45,000.00","1,588.00",6,5,"2,000.00",0,0
0,1,9.99,"14,684.00",1,"49,000.00","1,769.00",5,4,"2,000.00",0,0
0,1,8.34,"7,300.00",1,"35,000.00","1,410.00",6,8,"2,000.00",0,0
0,1,8.32,"8,530.00",1,"41,000.00","1,651.00",25,8,"2,000.00",0,0
0,1,8.5,"8,710.00",1,"41,000.00","1,657.00",26,5,"2,000.00",0,0
0,1,9,"7,509.00",1,"41,715.00","2,051.00",29,11,"2,000.00",0,0
0,1,7,"6,720.00",1,"48,000.00","2,280.00",5,6,"10,357.00",0,0
0,1,7.7,"4,928.00",1,"32,000.00","1,539.00",9,12,"2,000.00",0,0
0,1,7,"5,144.00",1,"49,000.00","3,008.00",4,4,"2,000.00",0,0
0,1,7.99,"5,273.00",1,"33,000.00","1,595.00",8,13,"2,000.00",0,0
0,23,6.74,"3,538.00",1,"35,000.00","2,141.00",32,5,"2,000.00",0,0
0,23,6.83,"4,100.00",1,"40,000.00","2,450.00",49,25,"2,000.00",0,0
0,23,6.12,"1,836.00",1,"30,000.00","2,653.00",16,16,"2,000.00",0,"3,000.00"
0,14,7.1,"4,400.00",1,"31,000.00","1,770.00",3,4,"2,000.00",0,0
0,14,8.99,"2,068.00",1,"23,000.00","2,089.00",15,24,"2,000.00",0,0
0,14,9.77,"4,836.00",1,"33,000.00","2,102.00",3,4,"2,000.00",0,0
0,3,7,"1,890.00",1,"27,000.00","2,400.00",6,9,"2,000.00","18,337.00",0
0,17,7.93,"3,830.00",1,"32,200.00","2,402.00",10,8,"2,000.00",0,0
0,17,10.99,"3,297.00",1,"30,000.00","3,027.00",3,4,"2,000.00",0,0
0,17,0,0,1,"20,000.00","2,000.00",38,14,"7,000.00",0,0
0,9,8.98,"3,592.00",1,"20,000.00",980,48,4,"3,600.00",0,0
0,9,7.92,"4,120.00",1,"26,000.00","1,506.00",53,24,"2,000.00",0,0
0,9,9.86,"6,704.00",1,"34,000.00","1,696.00",7,6,"2,000.00",0,0
0,1,9.01,"8,572.00",1,"47,588.00","2,340.00",5,4,"2,000.00",0,0
0,1,9.01,"9,323.00",1,"34,488.00","1,217.00",23,7,"2,000.00",0,0
0,1,7.51,"5,704.00",1,"38,000.00","1,821.00",18,26,"17,993.00",0,0
0,1,8,"13,443.00",1,"56,000.00","1,929.00",27,9,"12,000.00",0,0
0,1,9.51,"7,139.00",1,"37,525.00","1,861.00",35,14,"2,000.00",0,0
0,1,8.33,"6,328.00",1,"38,000.00","1,847.00",6,4,"7,532.00",0,0
0,1,9.02,"9,849.00",1,"43,700.00","1,785.00",11,32,"7,600.00",0,0
0,1,0,0,1,"36,000.00","1,800.00",42,4,"2,000.00",0,0
0,1,9.99,"11,688.00",1,"39,000.00","1,408.00",48,21,"2,000.00",0,0
0,1,7.73,"5,720.00",1,"37,000.00","1,780.00",18,5,"2,000.00",0,0
0,1,7.7,"6,314.00",1,"41,000.00","1,971.00",13,4,"8,061.00",0,0
0,1,8.51,"7,152.00",1,"42,000.00","2,048.00",13,16,"7,000.00",0,0
0,1,9,"12,020.00",1,"44,500.00","1,570.00",13,4,"13,490.00",0,0
0,1,8.32,"7,700.00",1,"37,000.00","1,490.00",34,15,"7,313.00",0,0
0,1,7.91,"5,538.00",1,"35,000.00","1,858.00",33,34,"2,000.00",0,"3,000.00"
0,1,8,"6,080.00",1,"38,000.00","1,837.00",35,4,"2,000.00",0,0
0,1,9.9,"10,100.00",1,"34,000.00","1,225.00",32,11,"2,000.00",0,0
0,1,8.33,"7,497.00",1,"36,000.00","1,450.00",23,26,"10,377.00",0,"3,000.00"
0,1,10.02,"4,150.00",1,"41,426.00","3,798.00",9,14,"9,850.00",0,0
0,1,9.99,"11,688.00",1,"39,000.00","1,408.00",5,6,"2,000.00",0,"3,000.00"
0,1,8.32,"7,700.00",1,"37,000.00","1,490.00",50,14,"2,000.00",0,0
0,1,10,"10,715.00",1,"35,725.00","1,290.00",34,4,"8,933.00",0,0
0,1,9.01,"6,754.00",1,"37,502.00","1,844.00",18,14,"2,000.00",0,0
0,1,8.33,"8,330.00",1,"40,000.00","1,611.00",33,31,"20,894.00",0,0
0,1,9.91,"9,175.00",1,"37,025.00","1,540.00",13,19,"16,744.00",0,0
0,1,0,0,1,"37,000.00","1,850.00",43,14,"13,800.00",0,0
0,1,8.5,"10,630.00",1,"50,000.00","2,021.00",5,4,"10,741.00",0,0
0,1,8,"7,680.00",1,"48,000.00","2,320.00",10,4,"2,000.00",0,0
0,1,10,"7,297.00",1,"36,502.00","1,825.00",11,4,"2,000.00",0,0
0,1,8.8,"7,920.00",1,"45,000.00","2,205.00",8,4,"20,495.00",0,"3,000.00"
0,1,7.99,"8,150.00",1,"51,000.00","2,465.00",3,4,"2,000.00",0,0
0,1,8.51,"7,450.00",1,"35,000.00","1,415.00",15,9,"2,000.00",0,0
0,1,8.33,"6,497.00",1,"39,000.00","1,896.00",6,4,"2,000.00",0,0
0,1,9.3,"11,718.00",1,"42,000.00","1,493.00",13,8,"2,000.00",0,0
0,1,8.88,"9,324.00",1,"35,000.00","1,231.00",33,8,"5,199.00",0,0
0,1,8.33,"10,996.00",1,"44,000.00","1,528.00",11,14,"2,000.00",0,0
0,1,8.81,"8,150.00",1,"37,000.00","1,505.00",4,19,"2,000.00",0,0
0,1,8.6,"7,224.00",1,"42,000.00","2,051.00",7,7,"8,800.00",0,0
0,1,8,"11,000.00",1,"55,000.00","2,200.00",5,16,"7,000.00","12,500.00",0
0,1,7.7,"5,392.00",1,"35,000.00","1,683.00",12,13,"2,000.00",0,"3,000.00"
0,1,9.41,"6,116.00",1,"32,500.00","1,609.00",28,7,"2,000.00",0,0
0,1,8.2,"11,070.00",1,"45,000.00","1,558.00",7,4,"2,000.00",0,"3,000.00"
0,1,9.99,"10,789.00",1,"36,000.00","1,300.00",28,13,"2,000.00",0,0
